EmployeeID,Age,Department,JobGrade,Work-Life Balance,Career Development,Manager Support,Peer Relationship,Compensation,Autonomy,Job Clarity,Work Meaningfulness,Productivity,Attrition
1,36,Marketing,3,2.9909268959341206,2.0517216246589762,2.3595815295483478,2.6418649151244233,4.669798685935933,3.0915892480480793,3.9044796643425226,4.675075015105418,0.5434093915302347,1
2,32,HR,3,2.546887265473113,1.9278931773835504,2.874531634192799,2.6681416999947696,3.43102303646375,3.7758836149159496,4.397114196259399,4.501695496589994,0.6748442364401518,1
3,37,Sales,3,3.005671549829717,1.9643443437967152,3.2272557330055034,2.0071386550853387,3.7863365991754505,4.023048122493479,4.110676401160973,3.7373862812604735,0.669674883779472,0
4,43,Finance,3,1.873827117604528,2.504399167424311,2.8713518019175526,2.061946514354265,5.0,4.288052488015454,3.903668349672497,4.417025818205549,0.6544363310978699,0
5,31,Sales,3,3.4971234091928443,1.0,3.0850747481074006,1.8129024038105213,4.087585668331802,4.829790622226113,3.9522605845305034,4.283724055332154,0.6996962793527648,0
6,31,Sales,3,2.9883363595127066,1.4428388282081717,3.231718001072772,3.2988198286976567,4.699335058380436,5.0,4.674675344675972,3.74413328618167,0.7552419860493739,1
7,44,HR,4,2.9524081585825006,2.4222867884749917,2.2624360955913225,1.9156573744946273,3.9732657796768276,4.3361335494012865,3.967286003370221,3.5047615032797053,0.6275953281421155,0
8,38,HR,3,1.7176310510916042,2.584878278172752,2.396442488664687,2.1746440572572014,4.152470197256579,4.302804656071483,4.330562668253072,3.2343081675286562,0.6091145946321378,0
9,29,HR,3,3.689742691650973,2.336597040949273,3.401017455204913,2.1547229584332332,5.0,3.954824116244066,3.5587998678097685,4.0527879575847265,0.6470708909951292,1
10,36,Engineering,4,2.490398730443612,2.4714438571505273,1.652890083038519,1.3758299267392262,4.418756121149012,3.3424499283385654,4.75765249919613,4.1729966986262355,0.5729869239667508,1
11,29,Marketing,3,3.0096342037008887,2.213618370441324,2.8003930030656066,1.8956092866275291,4.027576116534501,3.897106736897392,3.9085028629207548,4.452289028093829,0.6055598602365746,0
12,29,Engineering,4,2.274022875377374,2.487046777739236,1.9983038197580851,3.3596963195005767,3.858318269598576,4.097249460126989,4.400144748371944,4.610239309791549,0.7122606408982235,0
13,34,Marketing,3,2.6826223452774682,2.803899554183551,3.2701831222616784,1.6534985107464903,3.9040623037933986,4.687697210332582,4.074215935998452,3.9930705784453226,0.6973768295955869,0
14,20,Marketing,3,2.707989146483583,2.7989936100813626,2.4874451635974024,1.8254503887215427,4.820780015368546,4.459757265790974,4.39441707889623,4.158464326479566,0.6893415945980902,1
15,20,Sales,3,1.0,2.0177291119790532,2.5053157547646867,1.5672179583545187,4.58274915431946,4.31077261195053,4.4217201101823465,3.820638839506985,0.6977283133846871,1
16,29,Sales,3,2.907713687258382,3.140566317708065,3.71021592117768,2.4365719078381174,3.6256616839632043,3.909599953255374,4.127668369894948,4.243619210403079,0.6522223429622498,1
17,25,Marketing,4,3.875739023205459,2.6099760861523236,1.7467700543859477,3.819833704886403,4.243589278435352,3.2089416254779346,3.2670177258528654,4.684254340819139,0.729182379825775,1
18,35,Marketing,3,2.87784618129437,3.3625497694378383,2.651073631253022,2.40711404493105,4.166591764096998,3.2391219756336733,4.745507554704121,4.250571420722908,0.6700367706918714,0
19,26,Engineering,4,1.8296042257771834,3.503010701886957,2.3739117082315255,2.5467334877480727,4.3580463847841475,3.368131766528994,4.130048668849582,4.781662700004266,0.6335139627706562,1
20,23,Engineering,3,2.9549730963077208,1.490091295038728,2.872687921230122,1.9431869348931081,3.898214440429315,4.053996661897641,4.384003003587033,4.675890830161812,0.7109378085666718,1
21,43,Sales,3,3.2416363711213374,1.8986807227919038,3.8505315506822626,2.456867368645409,4.748902805824712,4.697022218858995,4.545859344954135,4.928848917656625,0.7481865466658969,0
22,31,HR,3,2.858726561333271,3.0694836279793853,2.076330943052372,3.3603352144433307,4.199330361356988,4.683532784980442,3.9714129264284854,4.264616216013539,0.6629628693222499,1
23,33,Marketing,3,2.448111025498969,1.334575305909737,1.6618216013521685,2.6000365713467217,4.386718258792705,4.596857881038718,4.458567728302231,3.933784912571264,0.6286964884382988,1
24,23,Engineering,3,2.3304955419232485,3.4941238738853615,1.9334708020225957,3.9922390574435145,3.8076548879428422,3.9424522582409804,3.82619895293788,4.510616761377978,0.5724784455367584,0
25,29,Sales,4,2.327583171243235,2.259282463631136,2.337027342445357,3.3816357986139836,3.832843431164719,4.772131583058555,4.393771428239274,4.013548501574245,0.7429505525806986,1
26,33,Engineering,4,2.988443830707849,2.902523124576313,2.544961583592329,2.439578558188547,5.0,3.7344647118550784,4.209851381738936,4.494925819662321,0.7171694260954062,0
27,24,Marketing,3,1.5150132034582604,2.4185265359974566,2.5801701570506075,2.4259484870855195,5.0,4.626696719429439,3.988752428249772,3.86859834655818,0.7272768182648958,0
28,35,Marketing,4,2.2396887874012155,1.525327330551419,3.761862665822804,3.641646196336542,4.165159418558544,3.3627118401059723,4.2234960851564995,3.785797074017898,0.7057578866888818,0
29,28,Finance,5,3.616926876107664,3.238881221492383,3.637387331258389,2.5961279030986604,4.96650197536347,3.611443878056391,3.6724032633019243,4.8082229917487425,0.7495144761116046,1
30,30,HR,4,3.643936686604023,4.425506121376131,3.412062542346872,3.486245092190206,4.8063687571312155,5.0,4.354519963836949,3.6937127845928397,0.8174830086481095,1
31,28,Finance,3,1.4652970385388366,2.139494206551016,4.2601070456321395,3.9020351380886664,3.8873944854754305,4.098082693085398,4.4064110395114096,4.711123889388016,0.7426819716716919,0
32,45,Sales,4,1.7080104721154739,2.2743490144083305,3.076868919663842,2.3570464425231235,3.8375333992989327,3.8595150702917755,4.372820069952057,4.493015485079723,0.6979287429793662,1
33,32,Engineering,3,2.3105655943304444,1.0,3.275848558458848,2.746368756154511,4.534338312675659,4.751379354332827,4.951085413770492,4.247148783779384,0.7477748499276622,1
34,25,Sales,5,3.1248126619800463,3.4460520324192845,3.0633393653256364,3.1860029291964658,4.330030319056411,4.808685811778636,4.152513142947492,3.253677573782685,0.7264771098365737,0
35,38,Marketing,3,1.220767952162907,3.138235725989402,2.9486337196556507,3.0372500273157637,3.99899769183064,3.9833595959503887,4.186938663936048,4.94282956092372,0.639681011419636,0
36,24,Finance,3,2.4616339555577653,1.28663129656156,2.776077566927989,3.032343513044351,4.560613271874369,4.339231726471069,3.6148652994391504,3.7325801657137943,0.7018290920849003,1
37,34,Finance,4,2.1680745903942484,1.0545801765671796,2.2222000685592755,1.5665683209755856,3.478758537203527,4.268453712703572,4.986234745771453,4.676576810939587,0.6243592317466615,1
38,20,Finance,3,3.428175271999663,1.1355381017843145,1.627255226513495,1.9061082902867406,4.257500763926228,2.7864492796349998,3.4509283024327466,3.8545295992280533,0.6154813182735308,1
39,23,Sales,5,1.326164068221522,2.9516183877609725,2.408542221726521,2.1533130853411686,3.5805381732186223,3.5020699606181367,4.314281803349939,3.8144183936407585,0.6841286408454542,1
40,34,Marketing,5,2.5647784308455357,3.0214939937298575,2.8960415897704443,3.350094562428073,3.597004328237469,4.671127207091039,3.8926094631457078,4.5343080559564655,0.758846665455728,0
41,38,Engineering,4,2.2244733938559844,1.8536662389418481,2.550583330681793,1.6352375650111797,3.846617605173797,3.7836978754786252,4.23115830633732,4.469232518388866,0.6540611846085767,1
42,34,Engineering,3,3.5288592483941015,2.849482021967959,1.7542650141165208,3.566258695025187,4.381643638171995,4.464918948032532,3.5459703639367044,3.627451226403154,0.7254717390440661,0
43,32,Sales,4,2.9183568524472747,2.6112139846938067,2.3838818650116353,3.045883879855078,3.8623814955576847,4.331520225672767,4.645831734885439,4.918379560268897,0.6915921688598892,0
44,30,Finance,3,2.089929038519586,2.242911205202047,2.3473980339918032,3.3079611573059418,3.5909456960248094,4.807716385063941,3.72241020085023,4.096977167311963,0.6269834222322881,1
45,22,HR,3,3.0973705103303577,3.17913777867971,2.4563517506218537,1.849326845928501,4.438624601338473,3.518104255796072,4.783126556549743,4.23446433351968,0.6399983885658633,1
46,27,Sales,4,2.2278198026839986,1.656545079140373,2.8436407442486615,2.550611653883091,4.946373522220518,4.397102920480626,3.7361947740718553,4.0514611880168605,0.6873797555859796,1
47,29,Sales,3,3.1995307978678276,3.3032774495157264,2.9943806258372114,2.7092599502919215,4.5194252171010065,4.167292770932278,4.687606209552203,3.6486180444862253,0.7240058752556201,0
